2;2;2;0.000027
4;4;2;0.000025
4;4;4;0.000512
8;8;2;0.000078
8;8;4;0.000460
8;8;8;0.010032
16;16;2;0.000071
16;16;4;0.000042
16;16;8;0.019700
16;16;16;0.049614
32;32;2;0.000024
32;32;4;0.007881
32;32;8;0.035693
32;32;16;0.015867
32;32;32;0.077666
64;64;2;0.000513
64;64;4;0.000088
64;64;8;0.000072
64;64;16;0.020582
64;64;32;0.143803
64;64;64;0.145510
128;128;2;0.000428
128;128;4;0.000238
128;128;8;0.001893
128;128;16;0.026623
128;128;32;0.099689
128;128;64;0.148625
128;128;128;0.359599
256;256;2;0.001645
256;256;4;0.000865
256;256;8;0.000456
256;256;16;0.021007
256;256;32;0.090527
256;256;64;0.141657
256;256;128;0.279596
512;512;2;0.004986
512;512;4;0.003280
512;512;8;0.003367
512;512;16;0.028976
512;512;32;0.059748
512;512;64;0.127547
512;512;128;0.349610
